DataSeries,2024,2023,2022,2021,2020,2019,year,period,income_group
All Items,115.742,112.954,107.862,101.901,99.861,100.0,2025,Post-COVID,All
    Food,118.383,115.138,108.802,103.314,101.835,100.0,2025,Post-COVID,All
    Food Excl Food Serving Services,117.157,115.726,110.033,104.509,102.851,100.0,2025,Post-COVID,All
        Bread & Cereals,118.097,113.909,106.658,102.626,101.944,100.0,2025,Post-COVID,All
        Meat,123.928,124.027,116.193,105.638,105.323,100.0,2025,Post-COVID,All
        Fish & Seafood,108.364,112.349,106.937,101.85,101.086,100.0,2025,Post-COVID,All
"        Milk, Cheese & Eggs",117.035,115.136,108.883,103.09,101.671,100.0,2025,Post-COVID,All
        Oils & Fats,115.527,113.26,110.538,103.438,101.797,100.0,2025,Post-COVID,All
        Fruits,113.821,111.785,107.759,104.517,101.711,100.0,2025,Post-COVID,All
        Vegetables,120.474,117.642,115.261,110.157,104.957,100.0,2025,Post-COVID,All
"        Sugar, Preserves & Confectionery",114.654,114.041,109.276,105.882,105.213,100.0,2025,Post-COVID,All
        Non-Alcoholic Beverages,120.058,116.649,110.179,105.284,103.584,100.0,2025,Post-COVID,All
        Other Food,117.012,112.421,106.193,102.837,101.314,100.0,2025,Post-COVID,All
    Food Serving Services,118.971,114.855,108.212,102.741,101.348,100.0,2025,Post-COVID,All
        Restaurant Food,118.427,114.01,107.622,102.646,101.484,100.0,2025,Post-COVID,All
        Fast Food,119.994,115.199,107.04,102.873,101.36,100.0,2025,Post-COVID,All
        Hawker Food,119.171,115.268,108.657,102.783,101.273,100.0,2025,Post-COVID,All
            Hawker Centres,120.751,115.665,109.146,103.001,101.614,100.0,2025,Post-COVID,All
            Food Courts & Coffee Shops,118.786,115.172,108.537,102.729,101.191,100.0,2025,Post-COVID,All
        Catered Food,117.302,113.694,106.971,102.336,101.644,100.001,2025,Post-COVID,All
    Clothing & Footwear,94.014,95.27,92.947,90.375,95.976,100.0,2025,Post-COVID,All
        Clothing,92.586,93.773,93.152,90.426,96.099,100.0,2025,Post-COVID,All
        Other Articles & Related Services,111.278,109.021,99.965,96.656,99.275,100.001,2025,Post-COVID,All
        Footwear,95.004,97.099,91.077,89.085,95.019,100.0,2025,Post-COVID,All
    Housing & Utilities,115.099,111.444,106.754,101.188,99.671,100.0,2025,Post-COVID,All
        Accommodation,114.799,111.493,106.539,102.025,100.406,100.0,2025,Post-COVID,All
        Utilities & Other Fuels,117.133,111.109,108.21,95.517,94.688,100.0,2025,Post-COVID,All
            Water Supply,107.355,101.023,100.0,100.0,100.0,100.0,2025,Post-COVID,All
            Electricity,122.148,116.09,111.145,91.382,90.846,100.0,2025,Post-COVID,All
            Gas,116.867,110.504,112.011,101.912,96.581,100.0,2025,Post-COVID,All
    Household Durables & Services,106.296,105.754,103.835,101.665,100.289,100.0,2025,Post-COVID,All
        Household Durables,106.464,106.337,104.672,101.6,100.018,100.0,2025,Post-COVID,All
        Household Services & Supplies,106.155,105.262,103.127,101.719,100.518,100.0,2025,Post-COVID,All
    Health Care,109.752,105.814,101.204,98.998,97.962,100.0,2025,Post-COVID,All
        Medicines & Health Products,102.7,101.182,99.74,98.503,98.461,100.0,2025,Post-COVID,All
        Outpatient Services,109.233,105.076,98.812,95.895,95.626,100.0,2025,Post-COVID,All
        Hospital Services,113.679,108.72,104.194,102.475,101.182,100.0,2025,Post-COVID,All
        Health Insurance,115.206,110.253,106.76,104.827,100.009,100.0,2025,Post-COVID,All
    Transport,133.657,131.653,124.674,107.64,99.576,100.0,2025,Post-COVID,All
        Private Transport,140.947,140.282,130.464,109.587,98.627,100.0,2025,Post-COVID,All
            Cars,162.56,163.245,145.801,115.936,101.39,100.0,2025,Post-COVID,All
            Petrol,128.292,124.635,129.65,108.95,92.584,100.0,2025,Post-COVID,All
        Public Transport,124.018,116.15,112.438,105.214,103.451,100.0,2025,Post-COVID,All
            Bus & Train Fares,120.374,112.661,109.326,106.996,106.961,100.0,2025,Post-COVID,All
            Point-To-Point Transport Services,131.41,122.659,118.727,103.732,98.976,100.0,2025,Post-COVID,All
        Other Transport Services,106.29,110.162,115.125,99.933,96.162,100.0,2025,Post-COVID,All
    Communication,102.302,101.791,98.831,100.098,100.689,100.0,2025,Post-COVID,All
        Postage & Courier Services,111.887,99.54,97.149,92.955,102.522,100.001,2025,Post-COVID,All
        Telecommunication Equipment,93.959,96.951,98.802,94.959,98.571,100.0,2025,Post-COVID,All
        Telecommunication Services,102.772,102.097,98.84,100.445,100.811,100.0,2025,Post-COVID,All
    Recreation & Culture,113.684,110.089,103.759,99.406,98.45,100.0,2025,Post-COVID,All
        Recreational & Cultural Goods,103.88,103.033,100.767,98.768,98.921,100.0,2025,Post-COVID,All
        Recreational & Cultural Services,115.763,111.057,105.701,100.799,99.656,100.0,2025,Post-COVID,All
"        Newspapers, Books & Stationery",102.951,102.266,101.22,100.556,100.311,100.0,2025,Post-COVID,All
        Holiday Expenses,116.354,112.303,103.809,98.752,97.508,100.0,2025,Post-COVID,All
    Education,108.034,104.899,102.135,100.093,98.93,100.0,2025,Post-COVID,All
        Tuition & Other Fees,108.066,104.914,102.148,100.087,98.91,100.0,2025,Post-COVID,All
        Textbooks & Study Guides,105.306,103.587,101.038,100.566,100.641,100.0,2025,Post-COVID,All
    Miscellaneous Goods & Services,103.893,102.29,98.979,98.38,98.861,100.0,2025,Post-COVID,All
        Personal Care,104.604,103.334,100.04,98.357,99.985,100.0,2025,Post-COVID,All
        Alcoholic Drinks & Tobacco,113.492,110.557,100.247,98.933,99.108,100.0,2025,Post-COVID,All
        Personal Effects,97.98,97.775,98.068,96.286,93.933,100.0,2025,Post-COVID,All
        Social Services,94.333,93.869,94.932,95.442,97.135,100.0,2025,Post-COVID,All
        Other Miscellaneous Services,98.546,95.993,96.58,100.641,100.053,100.0,2025,Post-COVID,All
